veryExperienced;schoolProjects;student
veryExperienced;other;otherOption
somewhatExperienced;other;hobbyist
totallyNewToProgramming;projectManagement;student
somewhatExperienced;research;student
totallyNewToProgramming;research;otherOption
totallyNewToProgramming;design;student
veryExperienced;projectManagement;hobbyist
somewhatExperienced;development;otherOption
somewhatExperienced;design;otherOption
veryExperienced;design;professional
totallyNewToProgramming;schoolProjects;hobbyist
somewhatExperienced;schoolProjects;otherOption
totallyNewToProgramming;development;professional
somewhatExperienced;design;hobbyist
somewhatExperienced;other;professional
somewhatExperienced;projectManagement;professional
veryExperienced;development;hobbyist
veryExperienced;projectManagement;otherOption
veryExperienced;development;student
veryExperienced;research;hobbyist
totallyNewToProgramming;other;student
totallyNewToProgramming;schoolProjects;professional
veryExperienced;research;professional
